team,date,time,home-away,type,event,site,subsite,result,score,canceled
boys-golf-varsity,2023-09-18,3:30 PM,A,League,Braintree High School,Braintree Municipal Golf Course,,,,TRUE
coed-field-hockey-freshman,2023-09-18,4:00 PM,H,League,Braintree High School,DeFazio Complex,Turf #1 Founders,,,
coed-field-hockey-varsity,2023-09-18,4:00 PM,A,League,Braintree High School,Braintree High School,Back Turf Field,W,1-0,
boys-soccer-freshman,2023-09-18,4:00 PM,H,League,Braintree High School,High Rock Middle School,,,,TRUE
girls-soccer-freshman,2023-09-18,4:00 PM,A,League,Braintree High School,Braintree High School,Freshman Field,,,TRUE
boys-soccer-junior-varsity,2023-09-18,4:30 PM,H,Non-League,Lincoln-Sudbury Regional High School,Cricket Field,Field #1,,,TRUE
coed-football-junior-varsity,2023-09-18,5:00 PM,H,Non-League,Lincoln-Sudbury Regional High School,Memorial Park,High School Turf,,,
coed-field-hockey-junior-varsity,2023-09-18,5:15 PM,A,League,Braintree High School,Braintree High School,Back Turf Field,,,
boys-golf-varsity,2023-09-19,3:30 PM,H,League,Braintree High School,Needham Golf Club,,W,96-82,
coed-field-hockey-middle-school-1,2023-09-19,4:00 PM,H,Game,Wilson Middle School (Natick),Pollard Middle School,Field,,,
boys-soccer-junior-varsity,2023-09-19,4:00 PM,A,League,Brookline High School,Brookline Warren Field,Warren Field,,-,
boys-soccer-varsity,2023-09-19,4:00 PM,A,League,Brookline High School,Skyline Park,Turf,W,2-0,
girls-soccer-junior-varsity,2023-09-19,4:00 PM,H,League,Brookline High School,Cricket Field,Field #1,,,
girls-soccer-varsity,2023-09-19,4:00 PM,H,League,Brookline High School,DeFazio Complex,Turf #2 Brock,W,2-0,
girls-volleyball-varsity,2023-09-19,4:00 PM,H,League,Brookline High School,Needham High School,A Gym,L,1-3,
girls-swim-and-dive-varsity,2023-09-19,4:30 PM,A,League,Milton High School,Blue Hills Regional Technical School,Swimming Pool,L,91-95,
girls-volleyball-freshman,2023-09-19,5:30 PM,H,League,Brookline High School,Needham High School,B Gym,,,
